,n,B_hat,B_hat_std,B,p_hat,p_hat_std,p,s_m_hat,s_m_hat_std,s_m,s_r_hat,s_r_hat_std,s_r
0,100.0,1.015677522357473,0.16083126784840196,1.0,0.2226954283746045,0.39069348569259216,0.6,0.7662176639469385,0.4588421737525401,1.0,0.9619933214951684,0.4308402469896656,1.0
1,1000.0,0.9659036911107292,0.17119806113812752,1.0,0.5456350156286452,0.17054386012737904,0.6,0.9396188728529566,0.31983539975862985,1.0,0.9672579383098472,0.2335574624435196,1.0
2,100.0,1.0002822420570694,0.14844230174787038,1.0,0.28717298848793843,0.39968187705681,0.7,0.6730663505377579,0.5773989628842068,1.0,0.9379973485078784,0.5089399431139915,1.0
3,1000.0,1.016878776697934,0.18676962809257933,1.0,0.6652319296615731,0.1738168709572178,0.7,0.9342740889281538,0.3813885463986486,1.0,0.9753312971212386,0.17407111402025185,1.0
4,100.0,0.9857726917008662,0.19142815941891064,1.0,0.307552220535125,0.4305699836128999,0.8,0.5915557552164133,0.5939361813804349,1.0,0.9898977130585632,0.4947961068117965,1.0
5,1000.0,1.0163703197376073,0.21959690514807395,1.0,0.6699409190995697,0.3623373596189945,0.8,0.944569681311413,0.3839239239416542,1.0,0.93985855271149,0.2818790183289375,1.0
6,100.0,0.9812045768830336,0.1793804332305731,1.0,0.3843624750924157,0.4253836795275472,0.9,0.5367405133356666,0.6579009108500348,1.0,0.9434809388221774,0.5442442246250551,1.0
7,1000.0,1.0104191424482027,0.22463615142027635,1.0,0.6532326532369659,0.41421658566881625,0.9,0.7232360281521357,0.551936245073634,1.0,1.0270869003174874,0.3225772410214672,1.0
8,100.0,0.9621144699160944,0.2280379448054663,1.0,0.4368127149881562,0.4603890046975062,1.0,0.3423417634790053,0.5881079853996569,1.0,1.1255838371063431,0.4918541860266884,1.0
9,1000.0,0.9586155474496677,0.2455521556348878,1.0,0.5678737914427809,0.44663626081956703,1.0,0.07427416951531719,0.682735167894759,1.0,1.1334637274089254,0.44399570762355683,1.0
